status,nces_unitid,school_id,school_name,details
updated,217484,192,University of Rhode Island,"enrollment,acceptance_rate,graduation_rate"
updated,195030,193,University of Rochester,"enrollment,acceptance_rate,graduation_rate"
updated,231174,194,University of Vermont,"enrollment,acceptance_rate,graduation_rate"
updated,197036,195,US Military Academy,"enrollment,acceptance_rate,graduation_rate"
updated,231165,196,Vermont Technical College,"enrollment,acceptance_rate,graduation_rate"
updated,168342,197,Williams College,"enrollment,acceptance_rate,graduation_rate"
updated,168421,198,Worcester Polytechnic Institute,"enrollment,acceptance_rate,graduation_rate"
updated,130794,199,Yale University,"enrollment,acceptance_rate,graduation_rate"
updated,230807,200,Westminster College,"enrollment,acceptance_rate,graduation_rate"
skipped,475495,201,Rocky Mountain University of Health Professionals,
updated,230764,202,University of Utah,"enrollment,acceptance_rate,graduation_rate"
updated,230728,203,Utah State University,"enrollment,acceptance_rate,graduation_rate"
updated,230737,204,Utah Valley University,"enrollment,graduation_rate"
updated,230782,205,Weber State University,"enrollment,graduation_rate"
updated,173461,206,Lake Superior College,enrollment
updated,153603,207,Iowa State University,"enrollment,acceptance_rate,graduation_rate"
updated,175263,208,Minnesota State College Southeast - Red Wing,enrollment
updated,153658,209,University of Iowa,"enrollment,acceptance_rate,graduation_rate"
updated,155399,210,University of Kansas,"enrollment,acceptance_rate,graduation_rate"
updated,174233,211,University of Minnesota-Duluth,"enrollment,acceptance_rate,graduation_rate"
updated,174066,212,University of Minnesota-Twin Cities,"enrollment,acceptance_rate,graduation_rate"
updated,181464,213,University of Nebraska-Lincoln,"enrollment,acceptance_rate,graduation_rate"
updated,210429,214,Southern Oregon University,"enrollment,acceptance_rate,graduation_rate"
updated,142115,216,Boise State University,"enrollment,acceptance_rate,graduation_rate"
updated,234827,217,Central Washington University,"enrollment,acceptance_rate,graduation_rate"
updated,235097,218,Eastern Washington University,"enrollment,acceptance_rate,graduation_rate"
updated,209056,220,Lewis & Clark College,"enrollment,acceptance_rate,graduation_rate"
updated,180461,221,Montana State University,"enrollment,acceptance_rate,graduation_rate"
updated,209542,222,Oregon State University,"enrollment,acceptance_rate,graduation_rate"
updated,209825,223,Portland State University,"enrollment,acceptance_rate,graduation_rate"
updated,236595,224,Seattle University,"enrollment,acceptance_rate,graduation_rate"
updated,180489,225,The University of Montana,"enrollment,acceptance_rate,graduation_rate"
updated,142285,227,University of Idaho,"enrollment,acceptance_rate,graduation_rate"
updated,209551,228,University of Oregon,"enrollment,acceptance_rate,graduation_rate"
updated,236656,229,University of Puget Sound,enrollment
updated,236948,230,University of Washington-Seattle,"enrollment,acceptance_rate,graduation_rate"
updated,210304,231,Warner Pacific University,"enrollment,acceptance_rate,graduation_rate"
updated,236939,232,Washington State University,"enrollment,acceptance_rate,graduation_rate"
updated,237011,233,Western Washington University,"enrollment,acceptance_rate,graduation_rate"
updated,237057,234,Whitman College,"enrollment,acceptance_rate,graduation_rate"
updated,226833,235,Midwestern State University,"enrollment,acceptance_rate,graduation_rate"
updated,222178,236,Abilene Christian University,"enrollment,acceptance_rate,graduation_rate"
updated,223232,237,Baylor University,"enrollment,acceptance_rate,graduation_rate"
updated,159391,238,Louisiana State University,"enrollment,acceptance_rate,graduation_rate"
updated,106342,239,Lyon College,"enrollment,acceptance_rate,graduation_rate"
updated,159966,240,Nicholls State University,"enrollment,acceptance_rate,graduation_rate"
updated,227757,241,Rice University,"enrollment,acceptance_rate,graduation_rate"
updated,228042,242,Schreiner University,"enrollment,acceptance_rate,graduation_rate"
updated,228723,243,Texas A & M University,"enrollment,acceptance_rate,graduation_rate"
updated,228459,244,Texas State University-San Marcos,"enrollment,acceptance_rate,graduation_rate"
updated,487320,245,Texas Tech University,enrollment
updated,228778,246,The University of Texas at Austin,"enrollment,acceptance_rate,graduation_rate"
updated,484905,247,The University of Texas at Dallas,"enrollment,acceptance_rate,graduation_rate"
updated,106458,248,University of Arkansas,"enrollment,acceptance_rate,graduation_rate"
updated,160658,249,University of Louisiana-Lafayette,"enrollment,acceptance_rate,graduation_rate"
updated,409315,250,University of North Texas,"enrollment,graduation_rate"
updated,207500,251,University of Oklahoma,"enrollment,acceptance_rate,graduation_rate"
updated,228769,252,University of Texas at Arlington,"enrollment,acceptance_rate,graduation_rate"
updated,459949,253,University of Texas-San Antonio,"enrollment,acceptance_rate,graduation_rate"
updated,142276,254,Idaho State University,"locale,enrollment,graduation_rate"
updated,104151,256,Arizona State University,"enrollment,acceptance_rate,graduation_rate"
updated,208275,257,Blue Mt. Community College,"locale,enrollment"
updated,164924,258,Boston College,"locale,enrollment,acceptance_rate,graduation_rate"
updated,164988,259,Boston University,"enrollment,acceptance_rate,graduation_rate"
updated,126818,261,Colorado State University,"enrollment,acceptance_rate,graduation_rate"
updated,190150,262,Columbia University-NYC,"enrollment,acceptance_rate,graduation_rate"
updated,133809,263,Florida State University,"enrollment,acceptance_rate,graduation_rate"
